Size,MatrixInterval,MatrixCond,Noise,Iter,r1,rel_r2,r2,Ue,SError,Ve,Time_ms,Trials
5x5,[0;10],4.34238,1e-15,1,9.97057e-15,1.88708e-16,2.55353e-15,3.31615e-15,1.16331e-15,3.34464e-15,0.0038,1
5x5,[0;10],4.34238,1e-15,5,1.06699e-14,2.00935e-16,2.71897e-15,3.60391e-15,7.9161e-16,3.6503e-15,0.0142,1
5x5,[0;10],4.34238,1e-15,10,9.52526e-15,1.81781e-16,2.45978e-15,3.6864e-15,1.60483e-15,3.65016e-15,0.0278,1
5x5,[0;10],4.34238,1e-15,50,1.2328e-14,2.42571e-16,3.28238e-15,1.0117e-15,2.59053e-15,9.89621e-16,0.134,1
5x5,[0;10],4.34238,1e-18,1,9.86735e-15,1.90116e-16,2.57257e-15,4.17898e-15,1.49131e-15,4.23611e-15,0.0039,1
5x5,[0;10],4.34238,1e-18,5,8.54991e-15,1.7657e-16,2.38927e-15,1.33074e-15,1.66422e-15,1.39712e-15,0.0143,1
5x5,[0;10],4.34238,1e-18,10,9.95363e-15,2.21029e-16,2.99087e-15,3.12935e-15,1.76219e-15,3.14746e-15,0.0269,1
5x5,[0;10],4.34238,1e-18,50,8.60103e-15,1.62896e-16,2.20424e-15,1.42674e-15,2.1867e-15,1.45574e-15,0.1298,1
5x5,[0;10],4.34238,1e-33,1,1.08228e-14,2.25249e-16,3.04798e-15,4.21572e-15,1.49131e-15,4.2285e-15,0.0037,1
5x5,[0;10],4.34238,1e-33,5,7.548e-15,1.55281e-16,2.1012e-15,2.27454e-15,1.17861e-15,2.33311e-15,0.0139,1
5x5,[0;10],4.34238,1e-33,10,1.43745e-14,2.93012e-16,3.96493e-15,2.23979e-15,2.64261e-15,2.27881e-15,0.0269,1
5x5,[0;10],4.34238,1e-33,50,8.88439e-15,2.06123e-16,2.78917e-15,1.55462e-15,9.89199e-16,1.7123e-15,0.1293,1
5x5,[0;100],4.34238,0.001,1,0.00375402,6.71414e-06,0.000908531,4.508e-05,0.000228676,4.29615e-05,0.0038,1
5x5,[0;100],4.34238,0.001,5,9.31893e-14,1.78272e-16,2.4123e-14,1.39911e-15,8.5272e-15,1.32689e-15,0.014,1
5x5,[0;100],4.34238,0.001,10,1.57934e-13,2.85386e-16,3.86174e-14,5.32497e-15,2.8133e-14,5.25214e-15,0.0268,1
5x5,[0;100],4.34238,0.001,50,9.04589e-14,1.67909e-16,2.27208e-14,1.29687e-15,8.5272e-15,1.26098e-15,0.1293,1
5x5,[0;100],4.34238,1e-15,1,7.91654e-14,1.67064e-16,2.26064e-14,3.84456e-15,1.46731e-14,3.84965e-15,0.0037,1
5x5,[0;100],4.34238,1e-15,5,8.0764e-14,1.66521e-16,2.2533e-14,1.14514e-15,1.15031e-14,1.07995e-15,0.014,1
5x5,[0;100],4.34238,1e-15,10,1.03503e-13,1.86892e-16,2.52895e-14,9.4406e-16,1.82317e-14,9.60869e-16,0.0268,1
5x5,[0;100],4.34238,1e-15,50,1.38949e-13,2.48751e-16,3.366e-14,6.93196e-16,1.57523e-14,6.38403e-16,0.129,1
5x5,[0;100],4.34238,1e-18,1,1.33094e-13,2.54478e-16,3.4435e-14,4.61676e-15,2.20102e-14,4.62588e-15,0.0037,1
5x5,[0;100],4.34238,1e-18,5,9.78523e-14,1.8265e-16,2.47155e-14,3.50705e-16,1.95598e-14,4.23774e-16,0.014,1
5x5,[0;100],4.34238,1e-18,10,1.22242e-13,2.31365e-16,3.13074e-14,3.30555e-15,2.00146e-14,3.37297e-15,0.0269,1
