Size,Интервал сингулярных значений,Method,Итерации уточнения (Ogita),Rec_l1,Rec_l2,Time_ms,U_err,S_err,V_err
7x7,[0;1],Ogita,10,1.34424E-18,2.49329E-19,222.233,6.6677E-19,1.36201E-19,6.77628E-19
7x7,[0;1],Ogita,20,6.4078E-19,1.19423E-19,477.868,1.16433E-18,1.12576E-19,1.19647E-18
7x7,[0;1],Ogita,30,1.13248E-18,2.11204E-19,683.953,7.02174E-19,6.77626E-20,7.38288E-19
7x7,[0;1],Ogita,50,7.95364E-19,1.61072E-19,1112.64,1.19341E-18,1.46593E-19,1.19801E-18
7x7,[0;10],Jacobi,0,1.17433E-16,2.13369E-17,0.5718,1.4692E-17,9.78564E-18,1.46185E-17
7x7,[0;10],Ogita,1,1.21431E-17,2.27747E-18,24.2912,1.92335E-18,1.99494E-18,1.8967E-18
7x7,[0;10],Ogita,5,9.06664E-18,1.70961E-18,117.478,3.08244E-18,1.34108E-18,3.07044E-18
7x7,[0;10],Ogita,10,1.25225E-17,2.23382E-18,238.272,4.88183E-18,1.61747E-18,4.83096E-18
7x7,[0;10],Ogita,20,1.5355E-17,2.63648E-18,429.238,2.12239E-18,1.11098E-18,2.13549E-18
7x7,[0;10],Ogita,30,1.08149E-17,1.96862E-18,646.732,4.93196E-18,2.19266E-18,4.87514E-18
7x7,[0;10],Ogita,50,1.38507E-17,2.42329E-18,1137.66,4.55844E-18,5.58785E-19,4.52195E-18
7x7,[0;100],Jacobi,0,1.21802E-15,2.26515E-16,0.8835,3.28017E-18,1.21592E-16,3.25632E-18
7x7,[0;100],Ogita,1,1.13001E-16,2.38092E-17,23.7797,3.15176E-18,1.84404E-17,3.09047E-18
7x7,[0;100],Ogita,5,8.89994E-17,1.61573E-17,107.176,1.68991E-18,1.71948E-17,1.66623E-18
7x7,[0;100],Ogita,10,8.18708E-17,1.44423E-17,215.829,1.27171E-18,1.78601E-17,1.15042E-18
7x7,[0;100],Ogita,20,7.18419E-17,1.43939E-17,449.933,1.93136E-18,1.2297E-17,1.82335E-18
7x7,[0;100],Ogita,30,7.61652E-17,1.41231E-17,620.03,2.41493E-18,1.44358E-17,2.37017E-18
7x7,[0;100],Ogita,50,9.12492E-17,1.87891E-17,1117.7,3.75749E-18,1.25393E-17,3.73104E-18
10x10,[0;1],Jacobi,0,1.8359E-17,2.34726E-18,1.4938,2.57828E-17,1.19295E-18,2.61422E-17
10x10,[0;1],Ogita,1,2.11716E-18,2.69118E-19,130.206,5.6213E-18,2.18692E-19,5.62287E-18
10x10,[0;1],Ogita,5,1.99434E-18,2.62875E-19,573.916,6.44678E-18,1.60356E-19,6.43502E-18
10x10,[0;1],Ogita,10,2.23659E-18,2.91811E-19,1185.56,7.01192E-18,2.0712E-19,7.01381E-18
10x10,[0;1],Ogita,20,2.14892E-18,2.70121E-19,2332.93,7.00493E-18,1.9214E-19,6.97543E-18
10x10,[0;1],Ogita,30,2.06125E-18,2.80923E-19,3471.78,6.92825E-18,1.77255E-19,6.92383E-18
10x10,[0;1],Ogita,50,2.69822E-18,3.29131E-19,6513.01,7.2551E-18,2.15306E-19,7.26995E-18
10x10,[0;10],Jacobi,0,1.41898E-16,1.74912E-17,1.4285,1.5894E-17,9.2012E-18,1.57892E-17
10x10,[0;10],Ogita,1,1.09606E-17,1.53706E-18,134.416,1.13542E-18,1.22071E-18,1.15497E-18
10x10,[0;10],Ogita,5,1.14231E-17,1.62604E-18,599.359,3.98091E-18,1.2189E-18,3.95849E-18
10x10,[0;10],Ogita,10,1.44267E-17,1.94626E-18,1194.4,3.78461E-18,1.74338E-18,3.76443E-18
10x10,[0;10],Ogita,20,1.28139E-17,1.65446E-18,2490.14,1.50201E-18,1.37062E-18,1.53173E-18
10x10,[0;10],Ogita,30,1.33899E-17,1.82572E-18,3554.01,2.03889E-18,1.76625E-18,2.04333E-18
10x10,[0;10],Ogita,50,1.26242E-17,1.56764E-18,5886.82,1.96645E-18,1.24337E-18,1.97964E-18
10x10,[0;100],Jacobi,0,2.60955E-15,3.23618E-16,1.7662,7.73335E-18,1.64149E-16,7.67832E-18
10x10,[0;100],Ogita,1,1.93815E-16,2.71014E-17,125.673,3.75715E-18,2.39115E-17,3.7645E-18
10x10,[0;100],Ogita,5,2.31369E-16,2.88232E-17,584.768,3.51616E-18,1.9082E-17,3.5609E-18
10x10,[0;100],Ogita,10,2.13967E-16,2.90621E-17,1163.51,5.85778E-18,1.55401E-17,5.83652E-18
10x10,[0;100],Ogita,20,1.89424E-16,2.48701E-17,2400.69,4.72485E-18,2.35309E-17,4.74859E-18
10x10,[0;100],Ogita,30,1.72402E-16,2.19184E-17,3600.51,3.64976E-18,2.18912E-17,3.69086E-18
10x10,[0;100],Ogita,50,3.02547E-16,4.0967E-17,6123.33,2.84926E-18,3.72562E-17,2.89598E-18
15x10,[0;1],Jacobi,0,2.59036E-17,2.69358E-18,2.1008,3.51287,1.1948E-18,9.43287E-17
15x10,[0;1],Ogita,1,5.68232E-18,6.49398E-19,198.006,3.51287,2.1684E-19,5.45269E-18
15x10,[0;1],Ogita,5,5.17998E-18,5.50467E-19,957.728,3.51287,1.69407E-19,1.09774E-17
15x10,[0;1],Ogita,10,4.23935E-18,4.42538E-19,1866.01,3.51287,1.6263E-19,1.27511E-17
15x10,[0;1],Ogita,20,7.26188E-18,7.60303E-19,3747.6,3.51287,3.12664E-19,8.77611E-18
15x10,[0;1],Ogita,30,6.8021E-18,7.18651E-19,5551.8,3.51287,1.48615E-19,4.59982E-17
15x10,[0;1],Ogita,50,7.36987E-18,8.70706E-19,9282.26,3.51287,1.27854E-19,9.96615E-18
15x10,[0;10],Jacobi,0,1.31349E-16,1.36922E-17,2.1896,3.87061,6.42361E-18,7.95712E-18
15x10,[0;10],Ogita,1,3.96727E-17,4.10952E-18,197.347,3.87061,2.50131E-18,2.57002E-18
15x10,[0;10],Ogita,5,3.95664E-17,4.04501E-18,917.062,3.87061,1.90354E-18,3.83345E-18
15x10,[0;10],Ogita,10,4.49745E-17,4.72091E-18,1903.56,3.87061,1.51885E-18,3.01224E-18
15x10,[0;10],Ogita,20,3.73101E-17,4.03935E-18,3679.73,3.87061,2.30759E-18,2.87172E-18
15x10,[0;10],Ogita,30,5.16616E-17,5.49979E-18,6317.45,3.87061,2.03703E-18,1.36309E-18
15x10,[0;10],Ogita,50,6.16964E-17,6.32857E-18,9254.06,3.87061,1.89658E-18,3.01677E-18
15x10,[0;100],Jacobi,0,1.97443E-15,1.98295E-16,2.1792,3.35923,4.93177E-17,4.34839E-15
15x10,[0;100],Ogita,1,5.22945E-16,5.52163E-17,189.236,3.35923,1.68244E-17,1.13654E-16
15x10,[0;100],Ogita,5,4.9401E-16,5.35585E-17,1028.96,3.35923,1.36592E-17,1.06602E-16
15x10,[0;100],Ogita,10,6.10223E-16,6.43724E-17,1968.09,3.35923,2.05118E-17,1.77945E-16
15x10,[0;100],Ogita,20,6.53198E-16,7.05132E-17,3850.32,3.35923,1.7107E-17,1.13908E-16
15x10,[0;100],Ogita,30,7.8915E-16,8.08938E-17,5656.66,3.35923,1.23352E-17,1.33634E-16
15x10,[0;100],Ogita,50,8.69523E-16,9.13607E-17,9264.51,3.35923,2.7948E-17,1.80673E-16
